date,Open,High,Low,Close,Volume,Dividends,return,log_return,price,dp,log_volume,RF,bond_ret,term_spread,EPS,credit_spread,T10YIE,CDL2CROWS,CDL3BLACKCROWS,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2010-01-04,1.0266317191440133,1.102873025639781,0.944747790963385,1.0027151892240553,138,0.0,,,1.0027151892240553,,4.927253685157205,0.0,18.8862,3.77,,,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-05,0.9767075497576806,1.0370941699704979,0.942143723465003,0.992095990372245,468,0.0,-0.010590443792945714,-0.010646921647084676,0.992095990372245,,6.148468295917647,0.0,19.0141,3.7,,,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-06,1.0443485450668208,1.0451684909481527,0.9690759341597931,1.0004139541406205,977,0.0,0.008384232825348281,0.00834928037573772,1.0004139541406205,,6.884486652042782,0.0,18.9835,3.79,,,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-07,0.8837860904793107,1.0389299862139307,0.8344003040033674,0.9886588245341309,242,0.0,-0.011750265535417803,-0.011819845497933587,0.9886588245341309,,5.488937726156687,0.0,18.9899,3.8,,,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-08,1.0346187739270976,1.0520460559590874,0.891637229134611,0.9864593290311353,253,0.0,-0.0022247265167860686,-0.0022272048973181894,0.9864593290311353,,5.53338948872752,0.0,19.0322,3.78,,,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-11,0.9950771710004361,1.0095650666347005,0.9750041273153043,0.9949717797651418,405,0.0,0.008629297208195164,0.008592277639170733,0.9949717797651418,,6.003887067106539,0.0,19.0437,3.81,,,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-12,1.0689086614493304,1.079794236946917,0.9261074615674781,1.000580444193828,730,0.0,0.005637008549137068,0.005621180072093769,1.000580444193828,,6.593044534142437,0.0,19.1534,3.69,,,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-13,0.9679819265842065,1.0283222081653203,0.9586656286439033,1.0002566373687356,156,0.0,-0.0003236189823330182,-0.0003236713582560814,1.0002566373687356,,5.049856007249537,0.0,19.0825,3.74,,,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-14,1.0695683065902724,1.1063129498459319,0.9781250768706232,1.0013484459081607,87,0.0,0.0010915284124455304,0.0010909331284481608,1.0013484459081607,,4.465908118654584,0.0,19.1497,3.71,,,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-15,0.9160744063586862,1.0577480136872972,0.9077256306173589,1.0031987785799197,125,0.0,0.0018478409581799138,0.0018461358003270885,1.0031987785799197,,4.8283137373023015,0.0,19.1963,3.64,,,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-19,0.9900728347239746,1.0642753786178494,0.9735085701065105,1.0099645621713875,739,0.0,0.00674421035584305,0.006721569906809528,1.0099645621713875,,6.6052979209482015,0.0,19.1616,3.67,,,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-20,1.061155444137697,1.067653163846557,0.9645202791825779,1.0070864340978078,608,0.0,-0.0028497317444404757,-0.002853799960669631,1.0070864340978078,,6.410174881966167,0.0,19.2149,3.63,,,2.37,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-21,1.0222814902321757,1.0662209988625313,0.9996615539299505,1.0159267366141955,517,0.0,0.008778097109715555,0.008739793606653876,1.0159267366141955,,6.248042874508429,0.0,19.2587,3.56,,,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,-100,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,-100,0,0,0,0,0,0,0,0,0
2010-01-22,1.1463740801708087,1.1793061818188213,1.0133340990092021,1.017202245142877,830,0.0,0.0012555123147288683,0.0012547248182147807,1.017202245142877,,6.721425700790643,0.0,19.2459,3.56,,,2.31,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,-100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
